pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-09-28,94.3,-2.35,4.88,"Weissert, Greg",628451,669711,,foul,,,,,3,Foul,R,R,R,BOS,DET,S,,,0,1,2025,-1.33,0.33,0.3908850137515018,2.689735147556524,,,700242,1,9,Top,,,,,,,10.009910151710502,-136.98594635482104,-0.7177635108293389,-18.892045856284035,29.107823221347132,-28.074931787544777,3.14,1.5,230,78.1,33,93.9,2106,6.1,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.43,,,,,,,,72,2,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,243,0.024,-0.047,60.9,5.8,,0.047,88.0,1,-1,0.839,0.161,30,32,30,32,1,3,2,1,4,9,2.23,1.33,1.33,14.7,-16.52058604878695,35.627539511935005,25.81312742915891,39.73212550514509,5.088561342680458
SI,2025-09-28,94.1,-2.27,4.85,"Weissert, Greg",628451,669711,,called_strike,,,,,7,Called Strike,R,R,R,BOS,DET,S,,,0,0,2025,-1.4,0.4,-0.6058393586593347,1.962362982546803,,,700242,1,9,Top,,,,,,,7.444647652120747,-136.91638287368278,-2.683936136536649,-19.21016234567311,29.390760149220373,-26.7599218524909,3.46047233060076,1.72657875246757,,,,94.7,2110,6.6,776151,657136,663993,666152,681987,686765,680776,678882,677800,53.92,,,,,,,,72,1,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,242,0.014,-0.04,,,,0.04,,1,-1,0.825,0.175,30,32,30,32,1,3,2,1,4,9,2.17,1.4,1.4,12.4,,,,,
FF,2025-09-28,94.4,-2.08,5.1,"Weissert, Greg",700242,669711,walk,ball,,,,,12,Trey Sweeney walks.,R,L,R,BOS,DET,B,,,3,2,2025,-0.85,1.06,1.195847469483064,3.1866080304996394,,,,1,9,Top,,,,,,,10.295520138894796,-137.1433115310285,-1.6621816157982878,-12.82725296027251,27.50787679949273,-18.545526004676063,3.76424044320903,1.72503464018182,,,,93.8,2314,5.8,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.7,,0.691497,0.7,1,0,0,,71,6,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shade,Standard,238,-0.071,0.339,,,,-0.339,,1,-1,0.896,0.1039999999999999,30,25,30,25,1,3,2,4,4,,1.49,0.85,-0.85,20.1,,,,,
CU,2025-09-28,79.3,-2.38,4.95,"Weissert, Greg",700242,669711,,ball,,,,,13,Ball,R,L,R,BOS,DET,B,,,2,2,2025,1.41,-0.76,-2.383174803853276,2.072501850240905,,,,1,9,Top,,,,,,,-2.621336715303265,-115.43801133012236,1.9091622875751184,13.063075068264476,23.152401245730875,-39.514997639407895,3.72000191828222,1.81333190920854,,,,78.3,2796,5.7,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.79,,,,,,,,71,5,Curveball,4,3,3,4,3,4,3,4,Infield shade,Strategic,66,-0.02,0.104,,,,-0.104,,1,-1,0.916,0.0839999999999999,30,25,30,25,1,3,2,4,4,,4.4,-1.41,1.41,17.6,,,,,
FF,2025-09-28,93.3,-3.1,4.47,"Weissert, Greg",700242,669711,,ball,,,,,11,Ball,R,L,R,BOS,DET,B,,,1,2,2025,-1.02,0.96,-1.814385674155818,4.563746804616762,,,,1,9,Top,,,,,,,5.546504304333911,-135.84326148577395,3.868284097140364,-13.83950093635116,28.33822428002491,-21.33461993058197,3.66592040630481,1.66171505037974,,,,93.5,2399,6.3,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.23,,,,,,,,71,4,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shade,Strategic,248,-0.008,0.048,,,,-0.048,,1,-1,0.924,0.0759999999999999,30,25,30,25,1,3,2,4,4,,1.65,1.02,-1.02,4.5,,,,,
CH,2025-09-28,85.9,-2.37,4.56,"Weissert, Greg",700242,669711,,called_strike,,,,,9,Called Strike,R,L,R,BOS,DET,S,,,1,1,2025,-1.23,-0.61,0.7552869325658986,1.997677183231184,,,,1,9,Top,,,,,,,9.86969032347372,-124.65343450602062,1.4409901041019526,-14.793096513909443,24.31293246524921,-39.07587638494013,3.61183843246208,1.60694397020993,,,,85.8,1559,6.3,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.2,,,,,,,,71,3,Changeup,4,3,3,4,3,4,3,4,Infield shade,Standard,273,0.013,-0.064,,,,0.064,,1,-1,0.911,0.0889999999999999,30,25,30,25,1,3,2,4,4,,3.71,1.23,-1.23,8.7,,,,,
FF,2025-09-28,94.8,-2.14,5.2,"Weissert, Greg",700242,669711,,ball,,,,,3,Ball,R,L,R,BOS,DET,B,,,0,1,2025,-0.73,1.18,0.6724040499350116,3.4119936387174032,,,,1,9,Top,,,,,,,8.849769849901666,-137.81006224982067,-1.6393597263608537,-11.19554560984296,29.187664716930435,-16.957918263390408,3.72000052687982,1.76346712186793,,,,93.8,2457,5.7,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.84,,,,,,,,71,2,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shade,Standard,232,-0.005,0.029,,,,-0.029,,1,-1,0.916,0.0839999999999999,30,25,30,25,1,3,2,4,4,,1.35,0.73,-0.73,20.7,,,,,
FF,2025-09-28,95.1,-2.22,5.24,"Weissert, Greg",700242,669711,,foul,,,,,5,Foul,R,L,R,BOS,DET,S,,,0,0,2025,-1.0,1.25,-0.1387251966957613,2.6149225623858987,,,,1,9,Top,,,,,,,7.606349723406231,-138.32091343088885,-3.986997486678347,-14.594813944887758,32.00825789551922,-15.45428779654921,3.72,1.7,188,78.2,64,94.0,2436,5.7,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.76,,,,,,,,71,1,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,230,0.008,-0.039,73.1,7.4,,0.039,88.0,1,-1,0.908,0.0919999999999999,30,25,30,25,1,3,2,4,4,,1.28,1.0,-1.0,18.8,4.89250220181639,5.971692952106612,32.908533431960734,33.18030696236691,28.106811756470787
ST,2025-09-28,80.8,-3.05,3.94,"Weissert, Greg",595879,669711,strikeout,swinging_strike,,,,,14,Javier Báez strikes out swinging.,R,R,R,BOS,DET,S,2,,0,2,2025,1.73,0.66,2.2951678270721745,1.601215376510687,,,,0,9,Top,,,,,,,8.535771989704102,-117.39211636274764,0.2980483524997853,13.928462724067822,25.882409893027894,-26.472486616796104,3.52,1.65,,,,79.7,3042,6.0,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.51,,0.0,0.0,1,0,0,,70,3,Sweeper,4,3,3,4,3,4,3,4,Standard,Standard,84,0.044,-0.165,61.0,9.4,,0.165,,1,-1,0.864,0.136,30,32,30,33,1,3,2,1,4,2,2.89,-1.73,-1.73,-3.2,20.44614148527229,-37.645879101804155,23.64450776569807,60.17861363899527,51.51249996892891
SI,2025-09-28,94.4,-2.28,4.87,"Weissert, Greg",595879,669711,,called_strike,,,,,2,Called Strike,R,R,R,BOS,DET,S,,,0,1,2025,-1.58,0.23,0.2164084646433306,3.2125341863175847,,,,0,9,Top,,,,,,,9.997771690592533,-137.16439127500522,0.8939883878147632,-22.154961208593388,30.629759692600754,-29.728676233272537,3.51999843924953,1.7649444382619,,,,94.2,2177,6.2,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.25,,,,,,,,70,2,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,246,0.018,-0.055,,,,0.055,,1,-1,0.846,0.154,30,32,30,33,1,3,2,1,4,2,2.34,1.58,1.58,10.8,,,,,
