pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-09-28,91.2,-3.16,5.55,"Kelly, Zack",669234,677161,field_out,hit_into_play,,,,,4,"Justyn-Henry Malloy grounds out, third baseman Nate Eaton to first baseman Nathaniel Lowe.",R,R,R,BOS,DET,X,5,ground_ball,1,0,2025,-0.13,0.71,-0.3113563178392156,2.7576309172311095,,,,0,8,Top,104.69,177.02,,,,,7.540940585642119,-132.76131088735187,-2.7301234827564747,-2.9355708339373927,25.443122949831572,-23.412278254016243,3.48,1.65,32,99.8,-3,92.8,2336,7.0,776151,657136,663993,666152,681987,686765,680776,678882,677800,53.51,0.322,0.295,0.0,1,0,0,2,64,2,Cutter,4,3,3,4,3,4,3,4,Standard,Standard,189,0.063,-0.301,72.4,6.7,0.38,0.301,99.8,1,-1,0.736,0.264,30,25,30,25,1,3,2,2,3,3,2.01,0.13,0.13,37.8,18.615837382305664,-4.490781212930546,38.44257207826986,33.690785971673805,36.377408677464
FF,2025-09-28,97.2,-2.32,6.05,"Rainey, Tanner",657136,663432,strikeout,swinging_strike,,,,,6,Connor Wong strikes out swinging.,R,R,R,BOS,DET,S,2,,0,2,2025,-0.53,1.47,0.5760487308233078,2.4957168335221924,,,678882,2,7,Bot,,,,,,,9.019963406477714,-141.06151541584032,-7.349272308717494,-9.11744666466252,32.648935519644596,-11.06283735370376,3.33,1.47,,,,97.6,2398,6.7,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.82,,0.0,0.0,1,0,0,,63,3,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,209,-0.012,-0.174,72.2,7.3,,0.174,,1,1,0.757,0.757,32,29,33,29,1,3,7,3,,,0.96,0.53,0.53,45.0,4.941361554712168,15.512807181641376,32.78807747392585,41.67693624535906,23.05814268400095
FF,2025-09-28,97.4,-2.38,6.04,"Rainey, Tanner",663993,663432,field_out,hit_into_play,,,,,8,Nathaniel Lowe lines out to center fielder Parker Meadows.,R,L,R,BOS,DET,X,8,line_drive,0,1,2025,-0.62,1.45,0.0319267618107012,2.1460542042495323,,,678882,1,7,Bot,100.64,88.85,,,,,7.9191071234687325,-141.36846713336593,-8.229647772982284,-10.139573133809565,34.009928606158994,-11.03504006994537,3.5,1.62,330,105.0,16,97.4,2445,6.6,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.94,0.527,0.556,0.0,1,0,0,5,62,2,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,210,-0.021,-0.216,72.1,7.4,0.817,0.216,105.0,1,1,0.786,0.786,32,29,33,30,1,3,7,1,,2,0.98,0.62,-0.62,43.3,7.371855395041365,16.10326490590021,32.5463623360394,35.69778792453621,26.63603643287661
FF,2025-09-28,96.6,-2.4,6.02,"Rainey, Tanner",677800,663432,field_out,hit_into_play,,,,,8,Wilyer Abreu pops out to third baseman Zach McKinstry in foul territory.,R,L,R,BOS,DET,X,5,popup,0,0,2025,-0.62,1.59,0.2282164165432915,2.144812766415184,,,678882,0,7,Bot,82.9,198.3,,,,,8.452370279177236,-140.19224605775617,-8.347001694215718,-10.1643896045621,33.741952298353795,-9.458456079135273,3.44,1.61,105,91.2,78,96.7,2533,6.6,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.87,0.008,0.009,0.0,1,0,0,3,61,1,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,213,-0.027,-0.242,82.9,7.8,0.01,0.242,91.2,1,1,0.817,0.817,32,26,33,26,1,3,7,1,,2,0.88,0.62,-0.62,43.6,17.50448961680938,-18.274966379505425,35.88427162496898,32.14906332949953,35.372435714868104
FF,2025-09-28,96.0,-2.48,6.01,"Rainey, Tanner",678882,663432,walk,ball,,,,,11,Ceddanne Rafaela walks.,R,R,R,BOS,DET,B,,,3,2,2025,-0.64,1.56,-1.1577065350223177,3.454206776229411,,,,0,7,Bot,,,,,,,4.983448259474168,-139.63177709556766,-4.709064738388102,-9.50991584845699,31.621683042075023,-10.928839386187947,3.36554701826091,1.56128778152433,,,,96.4,2539,6.6,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.94,,0.691497,0.7,1,0,0,,60,8,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,208,0.024,0.356,,,,-0.356,,1,1,0.793,0.793,32,24,33,25,1,3,7,1,,2,0.92,0.64,0.64,43.0,,,,,
CH,2025-09-28,83.9,1.94,5.47,"Matz, Steven",656716,571927,field_out,hit_into_play,,,,,13,Zach McKinstry grounds out to first baseman Nathaniel Lowe.,R,L,L,BOS,DET,X,3,ground_ball,2,2,2025,1.16,-0.02,-0.1917627849121566,1.3319653869756056,700242,,678009,2,7,Top,144.22,177.02,,,,,-7.266155320914195,-121.99097641315598,-3.136648182814898,13.032344480641004,23.201549607388262,-32.01703807512538,3.29,1.54,3,69.1,-25,84.5,2286,6.7,776151,657136,663993,666152,681987,686765,680776,678882,677800,53.85,0.048,0.047,0.0,1,0,0,2,59,6,Changeup,4,3,3,4,3,4,3,4,Infield shade,Standard,84,0.082,-0.229,60.1,7.2,0.049,0.229,88.0,1,-1,0.707,0.293,34,30,34,30,1,3,2,3,3,2,3.26,1.16,1.16,29.7,11.27528390964521,-14.550990715089808,36.15398153956809,37.99979870800078,37.843860741006374
FF,2025-09-28,89.4,-2.3,4.5,"De León, José",678009,592254,walk,ball,,,,,11,Parker Meadows walks.,R,L,R,BOS,DET,B,,,3,1,2025,-0.54,1.17,-0.6915853339272975,3.799244141875506,700242,,,2,7,Top,,,,,,,5.137524315211112,-130.09437399610462,1.83473928286986,-7.173345925489457,27.42541250249364,-19.51320543981564,3.48553106853743,1.69678591989022,,,,90.2,2136,6.8,776151,657136,663993,666152,681987,686765,680776,678882,677800,53.71,,0.691497,0.7,1,0,0,,58,5,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Strategic,218,-0.013,0.087,,,,-0.087,,1,-1,0.705,0.295,32,25,33,26,4,3,,1,,2,1.68,0.54,-0.54,22.0,,,,,
SV,2025-09-28,74.9,-2.03,4.79,"De León, José",668670,592254,grounded_into_double_play,hit_into_play,,,,,14,"Jake Rogers grounds into a double play, third baseman Nate Eaton to second baseman David Hamilton to first baseman Nathaniel Lowe. Trey Sweeney to 3rd. Andy Ibáñez out at 2nd. Jake Rogers out at 1st.",R,R,R,BOS,DET,X,5,ground_ball,1,2,2025,1.22,-0.46,0.5006254379576066,0.816648162738701,,700242,628451,0,7,Top,95.88,158.25,,,,,3.0874797500956204,-109.03896405773123,-0.1578976036374195,9.085863785542289,21.00796759904312,-36.00012746735778,3.47,1.6,86,73.1,8,75.0,2639,6.5,776151,657136,663993,666152,681987,686765,680776,678882,677800,53.97,0.269,0.242,0.0,1,0,0,2,57,4,Slurve,4,3,3,4,3,4,3,4,Standard,Standard,61,0.167,-0.242,67.8,8.5,0.269,0.242,88.0,1,-1,0.547,0.4529999999999999,32,30,33,30,3,2,,9,,9,4.55,-1.22,-1.22,29.5,22.007476869305,-14.6277604169113,33.76777883072155,41.61329483222957,43.628191784751166
CH,2025-09-28,83.5,-2.04,4.78,"De León, José",628451,592254,single,hit_into_play,,,,,5,Andy Ibáñez singles on a line drive to center fielder Ceddanne Rafaela. Trey Sweeney to 2nd.,R,R,R,BOS,DET,X,8,line_drive,0,1,2025,-1.47,0.45,0.144055669188196,2.26350900267913,,,700242,0,7,Top,120.2,80.29,,,,,8.002337282367318,-121.24518629066768,-0.1682828032175028,-16.122495730690854,25.56162686434097,-27.93903421986219,3.14,1.5,257,91.5,15,83.8,1871,6.8,776151,657136,663993,666152,681987,686765,680776,678882,677800,53.69,0.929,0.887,0.9,1,1,0,4,56,2,Changeup,4,3,3,4,3,4,3,4,Standard,Standard,248,-0.112,0.512,62.8,7.1,1.083,-0.512,91.5,1,-1,0.631,0.369,32,32,33,32,3,2,,1,,9,2.85,1.47,1.47,29.3,5.523273877215969,-0.2435563141833319,28.716613148619903,37.46778384904194,29.05599062248262
FF,2025-09-28,92.0,-2.33,4.6,"De León, José",700242,592254,walk,ball,,,,,14,Trey Sweeney walks.,R,L,R,BOS,DET,B,,,3,2,2025,-0.66,1.3,0.6543315925066546,1.427592883998004,,,,0,7,Top,,,,,,,9.084458521936693,-133.74538040989447,-5.104458286526016,-9.755082423410371,25.9948542444738,-15.64128983254298,3.72000131015625,1.61505961799084,,,,93.2,2302,6.8,776151,657136,663993,666152,681987,686765,680776,678882,677800,53.66,,0.691497,0.7,1,0,0,,55,6,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shade,Strategic,208,-0.06,0.356,,,,-0.356,,1,-1,0.681,0.3189999999999999,32,25,33,25,3,2,,4,,,1.38,0.66,-0.66,26.2,,,,,
